Day,Alive Animals,Dead Animals,Average Energy,Average Lifespan,Average Children,Most Popular Genome,Plant Count,Empty Tiles
0,12,0,12.0,0.0,0.0,"[3, 6, 5, 5, 7, 7, 5, 4, 6, 6, 7, 5]",12,122
1,12,0,8.083333,0.0,0.0,"[3, 6, 5, 5, 7, 7, 5, 4, 6, 6, 7, 5]",23,113
2,12,0,9.666667,0.0,0.0,"[3, 6, 5, 5, 7, 7, 5, 4, 6, 6, 7, 5]",31,104
3,8,4,15.875,2.0,0.0,"[7, 0, 7, 4, 3, 7, 0, 6, 4, 4, 5, 4]",40,98
4,8,4,16.625,2.0,0.0,"[7, 0, 7, 4, 3, 7, 0, 6, 4, 4, 5, 4]",50,90
5,6,6,28.666666,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",58,84
6,6,6,35.0,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",66,76
7,6,6,41.833332,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",74,68
8,6,6,46.666668,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",83,57
9,6,6,52.666668,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",91,51
10,6,6,60.166668,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",98,44
11,6,6,66.0,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",106,36
12,6,6,73.833336,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",113,30
13,6,6,80.166664,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",121,21
14,6,6,89.0,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",128,16
15,6,6,99.166664,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",134,9
16,6,6,109.5,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",140,4
17,6,6,119.333336,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",144,0
18,6,6,128.83333,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",144,0
19,6,6,137.83333,2.6666667,0.0,"[5, 0, 2, 1, 3, 0, 7, 4, 0, 7, 3, 0]",144,0
20,7,6,123.85714,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
21,7,6,132.71428,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
22,7,6,141.42857,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
23,7,6,150.85715,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
24,7,6,159.85715,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
25,7,6,168.71428,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
26,7,6,177.71428,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
27,7,6,187.28572,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
28,7,6,196.85715,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
29,7,6,205.85715,2.6666667,0.2857143,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
30,8,6,185.5,2.6666667,0.5,"[0, 7, 5, 7, 2, 1, 1, 1, 0, 7, 5, 0]",144,0
